id,key,no_ep
813,Crow Horse,1
814,Bald Rick,1
815,Punk Rick,1
816,Party Rick,1
817,Scar Rick,1
818,Long Hair Rick,1
819,Redhead Rick,1
820,Redhead Morty,1
821,Gotron,1
822,Young Jerry,1
823,Young Beth,1
824,Young Beth,1
825,Young Jerry,1
826,Butter Robot,1
